"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"ERR1248084","drought",17,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1248085","drought",17,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1248088","drought",19,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","greenhouse","paired"
"ERR1248089","drought",19,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","greenhouse","paired"
"ERR1248116","drought",20,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","control","paired"
"ERR1248117","drought",20,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","control","paired"
"ERR1248118","drought",20,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","control","paired"
"ERR1248122","drought",22,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","greenhouse","paired"
"ERR1248123","drought",22,"Hordeum vulgare","Scarlett","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","greenhouse","paired"
"ERR1248274","drought",23,"Hordeum vulgare","SBCC073","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1248275","drought",23,"Hordeum vulgare","SBCC073","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1248278","drought",25,"Hordeum vulgare","SBCC073","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","greenhouse","paired"
"ERR1248279","drought",25,"Hordeum vulgare","SBCC073","wt",37,"Floret_development","Reproductive","spike","flower_mix","inflorescence","greenhouse","paired"
"ERR1248280","drought",26,"Hordeum vulgare","SBCC073","wt",37,"Floret_development","Reproductive","leaf","leaf","shoot","control","paired"
