"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"SRR10737427","cytoplasmic_male_sterility",1,"Triticum aestivum","303-B","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR10737428","cytoplasmic_male_sterility",1,"Triticum aestivum","303-B","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR10737429","cytoplasmic_male_sterility",1,"Triticum aestivum","303-B","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"CRR088963","isonuc_allopl_male_sls",3,"Triticum aestivum","B706","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"CRR088962","isonuc_allopl_male_sls",3,"Triticum aestivum","B706","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"CRR088961","isonuc_allopl_male_sls",3,"Triticum aestivum","B706","wt",56,"Heading","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR5383964","drought_tolerance",11,"Triticum aestivum","Luyuan502","wt",71,"Seed_development","Grain_development","ear","flower_mix","inflorescence","control","paired"
"SRR5383963","drought_tolerance",11,"Triticum aestivum","Luyuan502","wt",71,"Seed_development","Grain_development","ear","flower_mix","inflorescence","control","paired"
"SRR5383962","drought_tolerance",11,"Triticum aestivum","Luyuan502","wt",71,"Seed_development","Grain_development","ear","flower_mix","inflorescence","control","paired"
"SRR5383957","drought_tolerance",13,"Triticum aestivum","Luyuan502","wt",61,"Anthesis","Reproductive","ear","flower_mix","inflorescence","control","paired"
"SRR5383955","drought_tolerance",13,"Triticum aestivum","Luyuan502","wt",61,"Anthesis","Reproductive","ear","flower_mix","inflorescence","control","paired"
"SRR5383954","drought_tolerance",13,"Triticum aestivum","Luyuan502","wt",61,"Anthesis","Reproductive","ear","flower_mix","inflorescence","control","paired"
"SRR1177761","pistillody_stamen",31,"Triticum aestivum","CS","wt",40,"Floret_development","Reproductive","stamen","stamen","inflorescence","control","paired"
"SRR1175868","pistillody_stamen",33,"Triticum aestivum","CS","wt",40,"Floret_development","Reproductive","pistil","pistil","inflorescence","control","paired"
"FRR7482","meiosis",34,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7483","meiosis",34,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7484","meiosis",35,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7485","meiosis",35,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7486","meiosis",36,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7487","meiosis",36,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7488","meiosis",37,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"FRR7489","meiosis",37,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"ERR424721","dev_timecourse_series",40,"Triticum aestivum","CS","wt",85,"Dough_development","Grain_development","grain","grain","grain","control","paired"
"ERR424724","dev_timecourse_series",49,"Triticum aestivum","CS","wt",65,"Anthesis","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR424726","dev_timecourse_series",41,"Triticum aestivum","CS","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"ERR424727","dev_timecourse_series",46,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","root","root_mix","root","control","paired"
"ERR424728","dev_timecourse_series",50,"Triticum aestivum","CS","wt",30,"Stem_elongation","Reproductive","stem","shoot_mix","shoot","control","paired"
"ERR424730","dev_timecourse_series",38,"Triticum aestivum","CS","wt",71,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"ERR424732","dev_timecourse_series",46,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","root","root_mix","root","control","paired"
"ERR424733","dev_timecourse_series",51,"Triticum aestivum","CS","wt",32,"Stem_elongation","Reproductive","stem","shoot_mix","shoot","control","paired"
"ERR424734","dev_timecourse_series",39,"Triticum aestivum","CS","wt",75,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"ERR424735","dev_timecourse_series",48,"Triticum aestivum","CS","wt",39,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR424739","dev_timecourse_series",52,"Triticum aestivum","CS","wt",65,"Anthesis","Reproductive","stem","shoot_mix","shoot","control","paired"
